subID,alpha,theta,gamma,w,nll
18,0.42,0.94,0.28,0.48,425.7009981814865
14,0.35,0.66,0.58,0.31,341.9215369526837
4,0.52,0.52,0.69,0.49,282.1034947231061
0,1.0,1.08,0.6,0.64,196.5370656373801
2,0.71,0.8,0.88,0.7,263.9230724803089
5,0.18,1.12,1.0,-0.48,372.71600907567
12,0.17,1.06,0.83,0.53,367.31854853037817
15,1.0,0.28,0.87,0.41,306.1290250434749
8,0.48,1.32,0.84,-0.65,336.45262621667945
19,0.54,1.09,0.82,0.53,279.2355845163504
6,0.81,1.14,0.01,1.0,225.11518615126215
10,0.68,0.83,0.86,0.8,228.55500845662792
9,0.6,0.48,1.0,-0.04,273.4459626222766
20,0.27,0.72,1.0,0.02,329.214436324144
13,0.92,0.57,0.86,-0.21,260.7815911628628
7,0.28,0.74,0.88,1.0,249.83131072237938
21,0.82,1.26,0.64,0.73,213.3500480394311
1,0.02,0.71,0.0,1.0,324.2291990775078
11,0.03,1.5,0.0,0.08,344.5607666345965
16,0.03,1.5,0.0,0.41,446.90393439234083
17,0.17,0.66,0.35,-0.3,289.065235729175
3,0.52,0.92,0.83,0.28,344.26111357210556
32,0.17,0.6,0.8,-0.2,345.78766766114626
36,0.05,1.5,0.0,1.0,324.7619122967287
22,0.06,0.56,0.06,0.12,327.0368961902609
28,0.23,1.34,0.1,0.03,247.037945823431
23,0.59,1.15,0.29,0.81,173.95250534416894
26,0.88,0.17,0.98,0.15,154.7083893049251
27,1.0,0.48,0.87,0.4,187.96007609443632
33,0.23,0.52,0.07,-0.03,237.41817236280556
29,0.41,0.38,1.0,0.45,280.2698675309756
30,0.16,0.86,0.87,0.73,342.9570111984548
37,0.16,0.6,0.12,-0.61,407.84011492781553
24,0.08,1.5,0.0,1.0,356.39587884402954
31,0.12,0.83,1.0,0.52,403.18621403347225
34,0.18,0.0,0.0,0.42,390.4974032459002
35,0.5,0.84,0.66,-1.0,183.33836948546394
25,0.13,0.47,1.0,-0.28,283.71866764296107
86,0.52,1.5,0.67,0.52,174.7744389202956
94,0.2,0.93,0.55,-0.32,279.65996923623055
68,0.72,0.4,0.88,0.54,200.4298212158559
48,0.02,1.44,0.0,-0.12,155.72300687941657
96,0.61,0.76,0.0,0.16,409.474707259843
60,0.88,0.99,0.63,1.0,163.84901541696763
58,0.12,1.09,0.88,-0.32,463.15833601106885
92,0.02,1.5,0.0,0.71,308.5784070477023
97,0.18,0.83,0.05,0.5,299.6525413726028
87,1.0,1.36,0.01,0.88,201.37682971275743
44,0.52,0.6,0.88,0.2,284.6432690590373
90,0.2,0.62,0.42,-0.1,201.81384113048944
54,0.44,0.76,0.88,0.29,354.4061185620225
50,0.02,0.61,0.0,0.28,321.1500586172742
70,0.24,0.59,0.72,0.93,245.52025177833792
66,0.87,1.5,0.1,0.48,318.95087173708566
42,0.62,0.28,0.95,0.5,199.999510956276
88,0.99,1.45,0.16,-0.68,328.52537728250013
40,0.56,0.64,1.0,0.37,341.6414070389165
74,0.49,0.65,0.95,0.57,218.01484533114987
64,0.8,1.48,0.61,0.64,133.17588924910956
45,0.08,1.5,0.0,0.68,455.27506779743373
38,0.4,0.19,0.0,0.59,443.99957570626015
84,0.56,0.34,1.0,1.0,341.0516883526344
65,0.94,0.48,0.87,0.32,273.6728007493822
72,0.18,1.07,0.72,-0.08,297.4034792921753
69,0.52,0.49,0.94,0.83,254.25127549503932
80,0.19,0.91,0.84,-0.12,332.2692403208392
82,0.19,0.87,1.0,0.62,439.6623508065053
81,0.01,1.5,0.0,1.0,342.83528849806123
61,0.15,0.63,1.0,0.57,268.2733180517167
67,0.68,0.96,0.8,0.12,218.31639592347807
89,0.12,0.88,1.0,0.56,328.34115306680786
76,0.41,1.23,0.77,0.32,405.1658483512175
59,0.34,1.29,0.36,-0.43,384.6458338229564
43,0.88,0.78,0.77,0.79,212.9261439288554
93,0.01,1.06,0.02,0.52,289.4107160868487
55,0.67,1.12,0.77,-0.38,173.8775895959296
85,0.19,0.82,0.88,-0.63,362.0235463360305
52,0.12,0.56,0.68,-0.52,406.57526489442296
78,0.25,0.84,0.88,0.66,276.9789823702572
51,0.45,0.68,0.87,0.08,257.92657607572573
49,0.64,0.28,0.97,0.28,237.89367187302446
56,0.57,0.67,0.73,-0.52,361.6840576309669
46,0.08,1.5,0.0,0.66,544.1143247453851
79,0.08,0.68,0.0,1.0,254.22234877351067
62,0.1,0.51,0.0,0.44,571.757343560136
77,0.02,1.5,0.02,0.68,421.0890853390432
63,0.19,1.22,0.58,0.39,245.06552225525206
73,0.48,0.48,1.0,0.16,301.66218390990235
57,0.22,1.5,0.48,0.4,403.9816549856023
83,0.64,0.7,0.99,0.3,254.00532443315993
71,0.43,0.52,0.96,0.88,227.55017410478553
91,0.32,0.64,0.97,-0.12,360.0303774154752
39,0.59,1.0,0.84,0.56,222.1521139317793
75,0.16,0.7,0.88,0.43,342.95283126493405
95,0.4,0.86,0.46,0.72,322.44579718358426
53,0.41,0.76,0.36,0.65,197.18507876150858
47,0.66,0.28,0.97,0.26,293.46515595307864
41,0.69,0.48,0.95,0.31,229.36393263872287
108,0.28,1.32,0.26,-1.0,94.58643487667194
114,0.11,0.66,1.0,0.53,308.86767575136446
161,0.02,0.67,0.08,0.21,359.1325615934474
146,0.35,0.56,0.8,0.03,306.4995470420401
138,0.35,0.74,0.35,-0.08,408.477885145306
102,0.53,0.87,0.0,1.0,314.52823795516383
167,0.88,0.8,0.83,0.16,208.1374770182974
98,0.74,0.98,0.78,0.52,256.18470139386284
100,0.52,0.34,0.72,0.0,235.63248093704857
120,0.63,1.26,0.7,0.37,275.9591555344938
104,0.76,0.71,0.0,0.41,261.974989211419
165,0.35,0.78,0.46,-0.34,279.95373919565804
168,0.22,0.64,0.07,0.61,278.10292224301196
163,0.47,0.36,0.99,0.12,182.48628429689302
124,0.0,1.44,0.0,0.71,328.91084752783934
103,0.08,0.83,0.48,0.89,263.9742337978113
154,0.52,0.48,0.93,0.31,208.48440322024493
115,0.44,0.78,0.86,0.71,294.56195421680303
116,0.56,0.52,0.88,0.12,127.59647553743388
132,1.0,0.76,0.81,0.51,188.23410985202162
112,0.81,1.5,0.31,-0.46,166.6066673345768
128,0.38,0.64,0.16,0.51,247.68118029748098
109,0.29,0.72,0.08,-0.86,185.51599716866986
159,0.46,0.57,0.1,0.43,263.07104313986565
106,1.0,0.78,0.65,0.52,316.51924888124654
113,1.0,1.08,0.68,0.08,297.0095016112432
166,0.13,1.08,0.51,0.17,232.10227981649717
126,0.27,1.0,0.77,0.44,318.6501885718993
152,0.64,0.68,0.86,0.02,217.7314539857181
130,0.08,1.5,0.0,0.68,438.7247680566765
118,0.08,1.01,0.68,-0.39,262.95984048618834
105,0.32,1.19,0.97,0.66,316.9376557804501
131,0.24,0.62,0.43,-0.49,340.61800286747115
107,1.0,1.24,0.04,0.27,273.30068306593586
139,0.37,0.62,0.0,1.0,371.4526073164489
117,0.42,1.31,0.27,0.54,231.5919524771666
153,0.14,0.5,1.0,0.84,302.7701853564006
140,0.36,0.72,0.19,0.34,430.6927352990898
134,0.58,0.77,0.88,0.68,209.82259496988098
148,0.29,0.15,0.4,0.1,230.40268076710012
150,0.27,1.26,0.09,0.25,193.3581424872849
157,0.2,0.84,1.0,0.36,319.2919267706884
133,0.44,0.45,1.0,1.0,227.80085503193425
121,0.64,0.43,0.82,0.12,290.80717502697155
135,0.68,0.5,1.0,1.0,232.97441974241525
127,1.0,0.53,0.86,0.1,208.47831502933064
110,0.2,0.87,0.0,1.0,380.0539038188905
147,0.08,1.15,0.87,0.19,224.28603903878025
155,0.19,0.88,0.06,0.27,220.01875819930032
149,0.0,0.81,0.0,0.02,300.9922340352066
122,0.6,0.48,0.87,0.0,232.90527789784818
142,0.91,1.2,0.65,0.6,184.8913581012417
160,0.52,0.44,0.95,0.4,161.71567020852132
156,0.88,0.57,0.77,0.24,236.84551547214556
137,0.22,0.13,0.0,0.18,428.810639109392
162,0.14,0.64,0.68,0.95,291.91975066225706
125,0.52,0.48,1.0,0.36,223.4061636369295
164,0.64,0.06,1.0,1.0,264.0169503015664
101,0.95,0.33,0.82,-0.5,416.69870748486267
144,0.52,0.13,1.0,0.4,329.64832627119074
123,0.0,0.75,0.0,0.19,322.849282825188
129,0.0,0.73,0.0,0.0,355.6292910448968
141,0.44,0.57,0.99,-0.12,312.7499595207278
111,0.38,0.94,0.66,0.71,200.87513681231067
158,0.29,0.33,1.0,-0.84,259.7046913486405
143,0.19,0.7,1.0,0.93,277.1732508443503
151,1.0,1.5,0.28,0.47,348.5686449837424
99,0.72,0.33,0.88,0.2,306.3466173858889
119,1.0,0.21,0.88,0.1,227.44821458019373
145,0.25,0.71,0.51,0.05,323.1188609869669
219,0.17,0.8,0.02,0.4,256.84891169131794
185,1.0,1.16,0.64,1.0,133.5049814674786
247,0.85,0.62,0.83,0.1,246.85837591744348
235,0.36,1.04,0.8,-0.22,247.8210445264735
213,0.0,0.0,0.0,0.6,444.1045286736263
245,0.58,0.6,0.3,1.0,141.77875526401672
225,0.52,0.36,0.98,0.34,226.33178993265847
231,0.73,0.88,0.81,0.72,162.0996726306244
226,0.76,0.88,0.81,0.87,184.95631446672877
217,0.01,0.57,0.02,0.19,321.08259301329014
236,0.19,0.92,0.25,-0.5,435.47469347577135
175,0.48,0.92,0.87,-0.89,286.05919406702367
173,0.5,0.22,0.74,0.4,370.65857045936053
203,0.18,0.96,0.0,0.35,75.58977375765932
193,0.58,1.16,0.78,0.41,281.408975263707
197,0.19,0.97,0.85,0.36,372.3020859222764
169,0.21,0.74,1.0,-0.12,335.38513684454153
191,0.68,1.35,0.66,0.88,171.3349692911695
227,0.44,0.6,1.0,0.25,342.8965840307553
221,0.12,0.72,0.0,0.99,334.9310909470794
223,0.61,0.68,0.87,0.51,277.01569766311115
177,1.0,0.9,0.82,0.75,269.3104985836577
174,0.36,0.63,1.0,-0.8,342.0987303981252
222,0.46,1.08,0.0,1.0,392.88456617888926
171,0.27,1.19,0.76,-0.32,313.24440605827226
218,0.94,0.76,0.85,0.23,266.9363033168953
201,0.61,0.52,0.66,0.73,334.7809266280279
243,0.13,0.88,0.48,-0.26,289.45195167997815
211,0.1,1.5,0.28,-1.0,279.6288131623861
224,0.56,0.44,0.99,0.0,216.02392019149625
237,0.08,1.5,0.0,1.0,334.4508753562755
187,0.73,0.4,0.88,0.65,214.54927177055447
170,0.2,0.26,0.78,0.73,376.4176010494477
181,1.0,0.26,0.88,0.28,285.5597594626877
183,0.19,0.82,0.3,0.45,377.33969650933295
198,0.11,0.83,1.0,0.09,372.05073897462
215,0.24,0.86,0.94,0.28,332.63336723532694
248,0.5,0.38,0.77,0.25,312.40842455633197
249,0.27,0.63,0.99,0.29,275.81046012992994
212,0.24,0.33,0.0,-0.28,238.7407685903457
233,0.7,0.58,0.86,0.15,261.08291064933314
189,1.0,1.12,0.68,0.67,253.07124907046403
172,1.0,0.88,0.76,0.4,207.00433183255893
216,0.31,0.56,0.0,0.17,377.9007080935998
190,0.68,0.32,0.0,0.68,195.2816069591717
232,0.98,1.43,0.65,0.3,172.21475074207217
188,0.48,0.84,1.0,0.36,334.60563876867394
250,0.72,1.28,0.66,0.0,267.24056500770376
229,0.72,0.52,0.79,0.57,273.46573894478547
209,0.37,0.62,0.77,0.4,303.7071833505499
176,0.88,0.68,0.71,0.59,199.40027507280143
239,0.56,0.92,0.75,0.28,223.4816646114228
195,0.83,0.32,0.96,0.26,251.4262031575617
179,0.2,0.64,1.0,0.8,270.7368365017843
199,0.1,1.12,1.0,0.16,347.911194770556
192,0.13,0.19,0.0,0.44,230.55382303672934
182,0.72,0.47,0.09,0.58,200.382384621317
220,0.72,0.19,0.97,-0.04,209.96315934390043
244,0.72,1.5,0.1,0.65,297.460689396472
186,0.06,0.59,0.1,0.99,338.9305153536125
205,0.71,1.12,0.36,0.03,233.88118376470206
206,0.48,0.58,0.95,-0.15,269.03033737443917
240,1.0,0.28,0.88,0.4,260.8218105237512
241,0.02,0.62,0.0,0.08,341.11438625444157
238,0.08,0.97,0.08,0.88,193.34488589223668
230,1.0,0.64,0.77,0.28,310.42500337539127
207,0.89,1.5,0.48,0.81,174.92448527296557
228,0.03,0.99,0.1,0.62,246.93736998822976
204,1.0,0.68,0.68,0.57,259.1572064283182
184,0.22,0.39,0.88,0.34,351.2732569245336
194,0.16,0.4,0.88,0.76,347.2245047512022
246,0.74,0.41,0.99,0.12,209.86852459126374
242,0.16,1.22,0.1,0.31,456.3794822799484
214,0.52,0.14,0.99,0.41,257.99745555450113
202,0.52,1.06,0.76,-0.37,283.36108868274755
208,0.72,0.16,0.99,0.38,203.21916022247504
178,0.34,0.96,0.08,1.0,219.96960767024996
200,0.22,0.88,0.92,0.96,349.2793203287655
196,0.08,1.5,0.0,0.69,499.15656823816096
210,0.0,0.57,0.0,0.41,347.39415002999397
234,0.75,0.48,0.84,0.71,249.73536065236874
180,1.0,0.06,1.0,0.72,306.27105971509235
