,ptn_rating,svo_value,svo_type,utility,trait,ius_score,subID
0,3,27.847578259788175,prosocial,24,52,76,1
1,7,35.01153510908234,prosocial,inf,56,88,0
2,10,35.01153510908234,prosocial,16,46,81,2
3,8,15.47525508916384,individualistic,22,26,42,3
4,5,29.43256844631617,prosocial,20,47,58,7
5,9,30.673758678336256,prosocial,30,50,72,6
6,5,16.260204708311957,individualistic,inf,36,46,4
7,2,35.01153510908234,prosocial,22,47,93,9
8,7,7.815293546766881,competitive,inf,51,66,13
9,7,-14.26071158,competitive,inf,30,98,12
10,7,30.718904264029177,prosocial,28,75,121,14
11,7,-7.815293547,competitive,inf,57,70,11
12,9,6.985610834421975,competitive,22,36,63,10
13,10,37.48241142771847,prosocial,20,51,80,5
14,8,28.610459665965216,prosocial,inf,27,48,16
15,6,30.23853223301426,prosocial,inf,37,43,20
16,6,7.815293546766881,competitive,24,37,51,21
17,8,0.4876118829249208,competitive,30,66,97,19
18,9,28.79792985016877,prosocial,22,40,87,18
19,7,-2.02136494,competitive,20,30,43,15
20,6,27.847578259788175,prosocial,24,43,66,39
21,6,35.01153510908234,prosocial,inf,52,44,40
22,8,35.01153510908234,prosocial,16,47,91,43
23,6,15.47525508916384,individualistic,22,46,61,41
24,7,29.43256844631617,prosocial,20,39,68,44
25,10,30.673758678336256,prosocial,30,57,108,46
26,10,16.260204708311957,individualistic,inf,24,33,45
27,10,35.01153510908234,prosocial,22,37,66,42
28,2,7.815293546766881,competitive,inf,51,61,48
29,10,-14.26071158,competitive,inf,45,46,38
30,8,30.718904264029177,prosocial,28,35,81,55
31,8,-7.815293547,competitive,inf,39,92,54
32,8,6.985610834421975,competitive,22,38,70,58
33,8,37.48241142771847,prosocial,20,60,78,57
34,8,28.610459665965216,prosocial,inf,51,65,47
35,2,30.23853223301426,prosocial,inf,57,101,49
36,3,7.815293546766881,competitive,24,64,88,56
37,10,0.4876118829249208,competitive,30,28,38,59
38,9,28.79792985016877,prosocial,22,39,43,60
39,3,-2.02136494,competitive,20,29,66,67
40,6,36.33261282004452,prosocial,22,53,77,65
41,9,7.815293546766881,competitive,24,50,82,62
42,5,7.815293546766881,competitive,22,49,59,64
43,6,0.4583564580004347,competitive,12,44,75,63
44,10,37.48241142771847,prosocial,24,61,92,69
45,9,10.425808525884781,competitive,inf,30,46,66
46,10,45.89238545874056,prosocial,20,36,64,68
47,8,30.036460354934754,prosocial,inf,40,74,71
48,9,37.48241142771847,prosocial,22,40,65,73
49,10,21.311248425815744,individualistic,10,53,60,78
50,5,37.48241142771847,prosocial,30,53,64,74
51,10,29.317536577346676,prosocial,24,25,44,80
52,8,7.815293546766881,competitive,inf,43,105,76
53,5,37.48241142771847,prosocial,16,59,113,81
54,7,37.48241142771847,prosocial,20,50,78,77
55,2,35.01153510908234,prosocial,20,46,46,82
56,7,37.48241142771847,prosocial,28,41,75,51
57,10,35.01153510908234,prosocial,20,28,57,83
58,10,28.610459665965216,prosocial,20,36,90,87
59,8,45,prosocial,26,29,40,86
60,10,15.44983598065655,individualistic,30,36,34,72
61,9,37.48241142771847,prosocial,inf,38,54,88
62,0,31.08454857977773,prosocial,inf,29,83,84
63,2,35.01153510908234,prosocial,30,31,96,85
64,7,35.01153510908234,prosocial,24,44,80,93
65,3,19.482434262602254,individualistic,,42,61,94
66,10,37.48241142771847,prosocial,20,54,63,95
67,6,26.976503921069718,prosocial,inf,44,95,75
68,6,35.01153510908234,prosocial,20,74,108,90
69,10,35.01153510908234,prosocial,26,43,84,92
70,3,28.610459665965216,prosocial,inf,54,72,97
71,10,37.48241142771847,prosocial,30,51,42,91
72,7,30.34864142817782,prosocial,20,43,79,61
73,7,37.48241142771847,prosocial,22,58,81,70
74,9,38.58539819266029,prosocial,20,52,100,53
75,9,45,prosocial,26,54,73,79
76,5,37.01361585490981,prosocial,24,45,102,50
77,8,35.76170706870689,prosocial,24,71,83,52
78,5,35.01153510908234,prosocial,22,67,98,89
79,5,27.847578259788175,prosocial,24,50,70,
80,7,35.01153510908234,prosocial,inf,25,52,
81,6,35.01153510908234,prosocial,16,49,81,101
82,7,15.47525508916384,individualistic,22,52,79,104
83,9,29.43256844631617,prosocial,20,46,95,105
84,5,30.673758678336256,prosocial,30,37,59,100
85,5,16.260204708311957,individualistic,inf,50,92,102
86,0,35.01153510908234,prosocial,22,73,129,109
87,5,7.815293546766881,competitive,inf,42,33,103
88,0,-14.26071158,competitive,inf,52,60,108
89,10,30.718904264029177,prosocial,28,58,86,107
90,7,-7.815293547,competitive,inf,51,60,
91,9,6.985610834421975,competitive,22,55,100,111
92,6,37.48241142771847,prosocial,20,63,71,98
93,6,28.610459665965216,prosocial,inf,50,88,114
94,7,30.23853223301426,prosocial,inf,41,40,110
95,5,7.815293546766881,competitive,24,57,93,115
96,7,0.4876118829249208,competitive,30,76,123,112
97,3,28.79792985016877,prosocial,22,58,102,113
98,9,-2.02136494,competitive,20,43,68,118
99,6,36.33261282004452,prosocial,22,48,69,117
100,10,7.815293546766881,competitive,24,74,71,116
101,8,7.815293546766881,competitive,22,60,99,119
102,7,0.4583564580004347,competitive,12,41,57,121
103,6,37.48241142771847,prosocial,24,48,97,124
104,7,10.425808525884781,competitive,inf,52,78,122
105,6,45.89238545874056,prosocial,20,67,107,123
106,9,30.036460354934754,prosocial,inf,47,58,125
107,6,37.48241142771847,prosocial,22,34,77,127
108,4,21.311248425815744,individualistic,10,53,68,120
109,10,37.48241142771847,prosocial,30,58,119,128
110,7,29.317536577346676,prosocial,24,31,68,135
111,4,7.815293546766881,competitive,inf,36,42,131
112,10,37.48241142771847,prosocial,16,57,80,130
113,8,37.48241142771847,prosocial,20,56,99,132
114,8,35.01153510908234,prosocial,20,56,72,134
115,10,37.48241142771847,prosocial,28,44,61,133
116,9,35.01153510908234,prosocial,20,48,72,138
117,8,28.610459665965216,prosocial,20,32,55,
118,8,45,prosocial,26,45,94,126
119,10,15.44983598065655,individualistic,30,59,97,141
120,5,37.48241142771847,prosocial,inf,67,106,146
121,8,31.08454857977773,prosocial,inf,55,100,147
122,10,35.01153510908234,prosocial,30,36,69,140
123,6,35.01153510908234,prosocial,24,35,58,150
124,9,19.482434262602254,individualistic,,34,61,143
125,8,37.48241142771847,prosocial,20,48,63,142
126,8,26.976503921069718,prosocial,inf,34,77,154
127,7,35.01153510908234,prosocial,20,50,97,153
128,7,35.01153510908234,prosocial,26,65,112,145
129,6,28.610459665965216,prosocial,inf,53,71,149
130,9,37.48241142771847,prosocial,30,57,90,151
131,6,30.34864142817782,prosocial,20,49,97,152
132,5,37.48241142771847,prosocial,22,48,27,137
133,9,38.58539819266029,prosocial,20,40,75,155
134,9,45,prosocial,26,51,78,156
135,9,37.01361585490981,prosocial,24,43,94,148
136,7,35.76170706870689,prosocial,24,42,57,159
137,4,35.01153510908234,prosocial,22,63,98,158
138,7,40.072890052350985,prosocial,26,20,36,157
139,8,39.35945056784317,prosocial,inf,60,77,160
140,7,7.815293546766881,competitive,18,49,79,139
141,6,0,competitive,20,62,108,167
142,2,7.815293546766881,competitive,,54,62,165
143,7,38.46519018629743,prosocial,20,32,86,164
144,7,33.95501721899765,prosocial,inf,49,64,163
145,10,37.48241142771847,prosocial,22,23,45,168
146,7,33.42075914728432,prosocial,18,52,92,161
147,2,8.820379552021056,competitive,20,28,57,166
148,7,35.01153510908234,prosocial,30,49,92,
149,10,37.48241142771847,prosocial,22,73,104,
150,2,30.34864142817782,prosocial,26,27,53,
151,8,5.2222019445867724,competitive,22,39,84,162
152,9,40.60129464500447,prosocial,20,55,107,144
153,6,14.17514205525248,individualistic,20,54,86,99
154,6,27.847578259788175,prosocial,24,48,81,169
155,5,35.01153510908234,prosocial,inf,20,33,170
156,9,35.01153510908234,prosocial,16,53,110,176
157,10,15.47525508916384,individualistic,22,44,61,171
158,10,29.43256844631617,prosocial,20,50,47,175
159,5,30.673758678336256,prosocial,30,73,130,180
160,9,16.260204708311957,individualistic,inf,34,78,173
161,7,35.01153510908234,prosocial,22,47,63,179
162,9,7.815293546766881,competitive,inf,56,89,185
163,10,-14.26071158,competitive,inf,32,51,182
164,9,30.718904264029177,prosocial,28,57,82,181
165,10,-7.815293547,competitive,inf,25,41,186
166,2,6.985610834421975,competitive,22,40,69,174
167,8,37.48241142771847,prosocial,20,53,86,178
168,6,28.610459665965216,prosocial,inf,40,64,187
169,7,30.23853223301426,prosocial,inf,41,59,190
170,8,7.815293546766881,competitive,24,43,83,183
171,9,0.4876118829249208,competitive,30,45,78,189
172,8,28.79792985016877,prosocial,22,39,91,193
173,6,-2.02136494,competitive,20,38,72,184
174,8,36.33261282004452,prosocial,22,26,62,194
175,4,7.815293546766881,competitive,24,53,85,195
176,8,7.815293546766881,competitive,22,56,72,199
177,7,0.4583564580004347,competitive,12,48,116,200
178,2,37.48241142771847,prosocial,24,46,78,203
179,9,10.425808525884781,competitive,inf,38,82,197
180,6,45.89238545874056,prosocial,20,47,61,207
181,10,30.036460354934754,prosocial,inf,44,53,204
182,9,37.48241142771847,prosocial,22,31,45,209
183,10,21.311248425815744,individualistic,10,36,66,196
184,9,37.48241142771847,prosocial,30,44,81,208
185,7,29.317536577346676,prosocial,24,64,74,210
186,5,7.815293546766881,competitive,inf,37,78,205
187,1,37.48241142771847,prosocial,16,38,63,191
188,6,37.48241142771847,prosocial,20,45,70,198
189,0,35.01153510908234,prosocial,20,76,84,211
190,7,37.48241142771847,prosocial,28,54,84,213
191,8,35.01153510908234,prosocial,20,54,90,202
192,9,28.610459665965216,prosocial,20,23,104,216
193,5,45,prosocial,26,33,44,218
194,7,15.44983598065655,individualistic,30,51,70,177
195,9,37.48241142771847,prosocial,inf,29,58,201
196,8,31.08454857977773,prosocial,inf,31,77,214
197,9,35.01153510908234,prosocial,30,25,41,206
198,7,35.01153510908234,prosocial,24,36,63,215
199,8,19.482434262602254,individualistic,,62,97,220
200,9,37.48241142771847,prosocial,20,38,83,217
201,5,26.976503921069718,prosocial,inf,29,46,212
202,7,35.01153510908234,prosocial,20,39,42,224
203,8,35.01153510908234,prosocial,26,31,64,223
204,10,28.610459665965216,prosocial,inf,45,75,221
205,7,37.48241142771847,prosocial,30,64,83,222
206,7,30.34864142817782,prosocial,20,46,81,192
207,6,37.48241142771847,prosocial,22,38,69,232
208,9,38.58539819266029,prosocial,20,39,50,231
209,10,45,prosocial,26,41,51,219
210,10,37.01361585490981,prosocial,24,28,42,172
211,10,35.76170706870689,prosocial,24,36,41,230
212,10,35.01153510908234,prosocial,22,25,41,225
213,3,40.072890052350985,prosocial,26,60,94,235
214,7,39.35945056784317,prosocial,inf,43,95,226
215,6,7.815293546766881,competitive,18,55,61,233
216,9,0,competitive,20,50,93,234
217,7,7.815293546766881,competitive,,36,36,236
218,8,38.46519018629743,prosocial,20,34,59,238
219,2,33.95501721899765,prosocial,inf,57,91,240
220,8,37.48241142771847,prosocial,22,32,50,239
221,9,33.42075914728432,prosocial,18,48,63,229
222,10,8.820379552021056,competitive,20,62,118,227
223,9,35.01153510908234,prosocial,30,25,42,245
224,9,37.48241142771847,prosocial,22,47,61,246
225,3,30.34864142817782,prosocial,26,35,72,243
226,7,5.2222019445867724,competitive,22,37,55,242
227,9,40.60129464500447,prosocial,20,55,83,244
228,8,14.17514205525248,individualistic,20,33,56,
229,10,11.117342343847199,competitive,inf,24,77,241
230,7,35.01153510908234,prosocial,24,50,97,248
231,7,32.69198418257208,prosocial,24,35,59,247
232,6,26.565051177077976,prosocial,24,29,53,
233,9,26.31808813965173,prosocial,20,47,71,249
234,10,11.680260148566317,competitive,,49,64,250